Postcode;Plaatsnaam;Deelgemeente;Provincie
3530;HOUTHALEN-HELCHTEREN;Neen;Limburg
3540;Berbroek;Ja;Limburg
3540;Donk;Ja;Limburg
3540;HERK-DE-STAD;Neen;Limburg
3540;Schulen;Ja;Limburg
3545;HALEN;Neen;Limburg
3545;Loksbergen;Ja;Limburg
3545;Zelem;Ja;Limburg
3550;Heusden;Ja;Limburg
3550;HEUSDEN-ZOLDER;Neen;Limburg
3550;Zolder;Ja;Limburg
3560;Linkhout;Ja;Limburg
3560;LUMMEN;Neen;Limburg
3560;Meldert;Ja;Limburg
3570;ALKEN;Neen;Limburg
3580;BERINGEN;Neen;Limburg
3581;Beverlo;Ja;Limburg
3582;Koersel;Ja;Limburg
3583;Paal;Ja;Limburg
3590;DIEPENBEEK;Neen;Limburg
3600;GENK;Neen;Limburg
3620;Gellik;Ja;Limburg
3620;LANAKEN;Neen;Limburg
3620;Neerharen;Ja;Limburg
3620;Veldwezelt;Ja;Limburg
3621;Rekem;Ja;Limburg
3630;Eisden;Ja;Limburg
3630;Leut;Ja;Limburg
3630;MAASMECHELEN;Neen;Limburg
3630;Mechelen-Aan-De-Maas;Ja;Limburg
3630;Meeswijk;Ja;Limburg
3630;Opgrimbie;Ja;Limburg
3630;Vucht;Ja;Limburg
3631;Boorsem;Ja;Limburg
3631;Uikhoven;Ja;Limburg
3640;Kessenich;Ja;Limburg
3640;KINROOI;Neen;Limburg
3640;Molenbeersel;Ja;Limburg
3640;Ophoven;Ja;Limburg
3650;Dilsen;Ja;Limburg
3650;DILSEN-STOKKEM;Neen;Limburg
3650;Elen;Ja;Limburg
3650;Lanklaar;Ja;Limburg
3650;Rotem;Ja;Limburg
3650;Stokkem;Ja;Limburg
3660;OPGLABBEEK;Neen;Limburg
3665;AS;Neen;Limburg
3668;Niel-Bij-As;Ja;Limburg
3670;Ellikom;Ja;Limburg
3670;Gruitrode;Ja;Limburg
3670;Meeuwen;Ja;Limburg
3670;MEEUWEN-GRUITRODE;Neen;Limburg
3670;Neerglabbeek;Ja;Limburg
3670;Wijshagen;Ja;Limburg
3680;MAASEIK;Neen;Limburg
3680;Neeroeteren;Ja;Limburg
3680;Opoeteren;Ja;Limburg
3690;ZUTENDAAL;Neen;Limburg
3700;'S Herenelderen;Ja;Limburg
3700;Berg;Ja;Limburg
3700;Diets-Heur;Ja;Limburg
3700;Haren;Ja;Limburg
3700;Henis;Ja;Limburg
3700;Kolmont;Ja;Limburg
3700;Koninksem;Ja;Limburg
3700;Lauw;Ja;Limburg
3700;Mal;Ja;Limburg
3700;Neerrepen;Ja;Limburg
3700;Nerem;Ja;Limburg
3700;Overrepen;Ja;Limburg
3700;Piringen;Ja;Limburg
3700;Riksingen;Ja;Limburg
3700;Rutten;Ja;Limburg
3700;Sluizen;Ja;Limburg
3700;TONGEREN;Neen;Limburg
3700;Vreren;Ja;Limburg
3700;Widooie;Ja;Limburg
3717;HERSTAPPE;Neen;Limburg
3720;KORTESSEM;Neen;Limburg
3721;Vliermaalroot;Ja;Limburg
3722;Wintershoven;Ja;Limburg
3723;Guigoven;Ja;Limburg
3724;Vliermaal;Ja;Limburg
3730;HOESELT;Neen;Limburg
3730;Romershoven;Ja;Limburg
3730;Sint-Huibrechts-Hern;Ja;Limburg
3730;Werm;Ja;Limburg
3732;Schalkhoven;Ja;Limburg
3740;Beverst;Ja;Limburg
3740;BILZEN;Neen;Limburg
3740;Eigenbilzen;Ja;Limburg
3740;Grote-Spouwen;Ja;Limburg
3740;Hees;Ja;Limburg
3740;Kleine-Spouwen;Ja;Limburg
3740;Mopertingen;Ja;Limburg
3740;Munsterbilzen;Ja;Limburg
3740;Rijkhoven;Ja;Limburg
3740;Rosmeer;Ja;Limburg
3740;Waltwilder;Ja;Limburg
3742;Martenslinde;Ja;Limburg
3746;Hoelbeek;Ja;Limburg
3770;Genoelselderen;Ja;Limburg
3770;Herderen;Ja;Limburg
3770;Kanne;Ja;Limburg
3770;Membruggen;Ja;Limburg
3770;Millen;Ja;Limburg
3770;RIEMST;Neen;Limburg
3770;Val-Meer;Ja;Limburg
3770;Vlijtingen;Ja;Limburg
3770;Vroenhoven;Ja;Limburg
3770;Zichen-Zussen-Bolder;Ja;Limburg
3790;Moelingen;Ja;Limburg
3790;Sint-Martens-Voeren;Ja;Limburg
3790;VOEREN;Neen;Limburg
3791;Remersdaal;Ja;Limburg
3792;Sint-Pieters-Voeren;Ja;Limburg
3793;Teuven;Ja;Limburg
3798;S Gravenvoeren;Ja;Limburg
3800;Aalst;Ja;Limburg
3800;Brustem;Ja;Limburg
3800;Engelmanshoven;Ja;Limburg
3800;Gelinden;Ja;Limburg
3800;Groot-Gelmen;Ja;Limburg
3800;Halmaal;Ja;Limburg
3800;Kerkom-Bij-Sint-Truiden;Ja;Limburg
3800;Ordingen;Ja;Limburg
3800;SINT-TRUIDEN;Neen;Limburg
3800;Zepperen;Ja;Limburg
3803;Duras;Ja;Limburg
3803;Gorsem;Ja;Limburg
3803;Runkelen;Ja;Limburg
3803;Wilderen;Ja;Limburg
3806;Velm;Ja;Limburg
3830;Berlingen;Ja;Limburg
3830;WELLEN;Neen;Limburg
3831;Herten;Ja;Limburg
3832;Ulbeek;Ja;Limburg
3840;Bommershoven;Ja;Limburg
3840;BORGLOON;Neen;Limburg
3840;Broekom;Ja;Limburg
3840;Gors-Opleeuw;Ja;Limburg
3840;Gotem;Ja;Limburg
3840;Groot-Loon;Ja;Limburg
3840;Haren;Ja;Limburg
3840;Hendrieken;Ja;Limburg
3840;Hoepertingen;Ja;Limburg
3840;Jesseren;Ja;Limburg
3840;Kerniel;Ja;Limburg
3840;Kolmont;Ja;Limburg
3840;Kuttekoven;Ja;Limburg
3840;Rijkel;Ja;Limburg
3840;Voort;Ja;Limburg
3850;Binderveld;Ja;Limburg
3850;Kozen;Ja;Limburg
3850;NIEUWERKERKEN;Neen;Limburg
3850;Wijer;Ja;Limburg
3870;Batsheers;Ja;Limburg
3870;Bovelingen;Ja;Limburg
3870;Gutshoven;Ja;Limburg
3870;HEERS;Neen;Limburg
3870;Heks;Ja;Limburg
3870;Horpmaal;Ja;Limburg
3870;Klein-Gelmen;Ja;Limburg
3870;Mechelen-Bovelingen;Ja;Limburg
3870;Mettekoven;Ja;Limburg
3870;Opheers;Ja;Limburg
3870;Rukkelingen-Loon;Ja;Limburg
3870;Vechmaal;Ja;Limburg
3870;Veulen;Ja;Limburg
3890;Boekhout;Ja;Limburg
3890;GINGELOM;Neen;Limburg
3890;Jeuk;Ja;Limburg
3890;Kortijs;Ja;Limburg
3890;Montenaken;Ja;Limburg
3890;Niel-Bij-Sint-Truiden;Ja;Limburg
3890;Vorsen;Ja;Limburg
3891;Borlo;Ja;Limburg
3891;Buvingen;Ja;Limburg
3891;Mielen-Boven-Aalst;Ja;Limburg
3891;Muizen;Ja;Limburg
3900;OVERPELT;Neen;Limburg
3910;NEERPELT;Neen;Limburg
3910;Sint-Huibrechts-Lille;Ja;Limburg
3920;LOMMEL;Neen;Limburg
3930;Achel;Ja;Limburg
3930;Hamont;Ja;Limburg
3930;HAMONT-ACHEL;Neen;Limburg
3940;Hechtel;Ja;Limburg
3940;HECHTEL-EKSEL;Neen;Limburg
3941;Eksel;Ja;Limburg
3945;HAM;Neen;Limburg
3945;Kwaadmechelen;Ja;Limburg
3945;Oostham;Ja;Limburg
3950;BOCHOLT;Neen;Limburg
3950;Kaulille;Ja;Limburg
3950;Reppel;Ja;Limburg
3960;Beek;Ja;Limburg
3960;BREE;Neen;Limburg
3960;Gerdingen;Ja;Limburg
3960;Opitter;Ja;Limburg
3960;Tongerlo;Ja;Limburg
3970;LEOPOLDSBURG;Neen;Limburg
3971;Heppen;Ja;Limburg
3980;TESSENDERLO;Neen;Limburg
3990;Grote-Brogel;Ja;Limburg
3990;Kleine-Brogel;Ja;Limburg
3990;PEER;Neen;Limburg
3990;Wijchmaal;Ja;Limburg
4000;Glain;Ja;Luik
4000;LIÈGE;Neen;Luik
4000;Rocourt;Ja;Luik
4020;Bressoux;Ja;Luik
4020;Jupille-Sur-Meuse;Ja;Luik
4020;LIÈGE;Neen;Luik
4020;Wandre;Ja;Luik
4030;Grivegnee;Ja;Luik
4031;Angleur;Ja;Luik
4032;Chênee;Ja;Luik
4040;HERSTAL;Neen;Luik
4041;Milmort;Ja;Luik
4041;Vottem;Ja;Luik
4042;Liers;Ja;Luik
4050;CHAUDFONTAINE;Neen;Luik
4051;Vaux-Sous-Chèvremont;Ja;Luik
4052;Beaufays;Ja;Luik
4053;Embourg;Ja;Luik
4075;CSM Liege X;;
4099;Liège X;;
4100;Boncelles;Ja;Luik
4100;SERAING;Neen;Luik
4101;Jemeppe-Sur-Meuse;Ja;Luik
4102;Ougrée;Ja;Luik
4120;Ehein;Ja;Luik
4120;NEUPRÉ;Neen;Luik
4120;Rotheux-Rimière;Ja;Luik
4121;Neuville-En-Condroz;Ja;Luik
4122;Plainevaux;Ja;Luik
4130;ESNEUX;Neen;Luik
4130;Tilff;Ja;Luik
4140;Dolembreux;Ja;Luik
4140;Gomzé-Andoumont;Ja;Luik
4140;Rouvreux;Ja;Luik
4140;SPRIMONT;Neen;Luik
4141;Louveigné;Ja;Luik
4160;ANTHISNES;Neen;Luik
4161;Villers-Aux-Tours;Ja;Luik
4162;Hody;Ja;Luik
4163;Tavier;Ja;Luik
4170;COMBLAIN-AU-PONT;Neen;Luik
4171;Poulseur;Ja;Luik
4180;Comblain-Fairon;Ja;Luik
4180;Comblain-La-Tour;Ja;Luik
4180;HAMOIR;Neen;Luik
4181;Filot;Ja;Luik
4190;FERRIÈRES;Neen;Luik
4190;My;Ja;Luik
4190;Vieuxville;Ja;Luik
4190;Werbomont;Ja;Luik
4190;Xhoris;Ja;Luik
4210;BURDINNE;Neen;Luik
4210;Hannêche;Ja;Luik
4210;Lamontzée;Ja;Luik
4210;Marneffe;Ja;Luik
4210;Oteppe;Ja;Luik
4217;HÉRON;Neen;Luik
4217;Lavoir;Ja;Luik
4217;Waret-L'Evêque;Ja;Luik
4218;Couthuin;Ja;Luik
4219;Acosse;Ja;Luik
4219;Ambresin;Ja;Luik
4219;Meeffe;Ja;Luik
4219;WASSEIGES;Neen;Luik
4250;Boëlhe;Ja;Luik
4250;GEER;Neen;Luik
4250;Hollogne-Sur-Geer;Ja;Luik
4250;Lens-Saint-Servais;Ja;Luik
4252;Omal;Ja;Luik
4253;Darion;Ja;Luik
4254;Ligney;Ja;Luik
4257;BERLOZ;Neen;Luik
4257;Corswarem;Ja;Luik
4257;Rosoux-Crenwick;Ja;Luik
4260;Avennes;Ja;Luik
4260;BRAIVES;Neen;Luik
4260;Ciplet;Ja;Luik
4260;Fallais;Ja;Luik
4260;Fumal;Ja;Luik
4260;Ville-En-Hesbaye;Ja;Luik
4261;Latinne;Ja;Luik
4263;Tourinne;Ja;Luik
4280;Abolens;Ja;Luik
4280;Avernas-Le-Bauduin;Ja;Luik
4280;Avin;Ja;Luik
4280;Bertrée;Ja;Luik
4280;Blehen;Ja;Luik
4280;Cras-Avernas;Ja;Luik
4280;Crehen;Ja;Luik
4280;Grand-Hallet;Ja;Luik
4280;HANNUT;Neen;Luik
4280;Lens-Saint-Remy;Ja;Luik
4280;Merdorp;Ja;Luik
4280;Moxhe;Ja;Luik
4280;Petit-Hallet;Ja;Luik
4280;Poucet;Ja;Luik
4280;Thisnes;Ja;Luik
4280;Trognée;Ja;Luik
4280;Villers-Le-Peuplier;Ja;Luik
4280;Wansin;Ja;Luik
4287;LINCENT;Neen;Luik
4287;Pellaines;Ja;Luik
4287;Racour;Ja;Luik
4300;Bettincourt;Ja;Luik
4300;Bleret;Ja;Luik
4300;Bovenistier;Ja;Luik
4300;Grand-Axhe;Ja;Luik
4300;Lantremange;Ja;Luik
4300;Oleye;Ja;Luik
4300;WAREMME;Neen;Luik
4317;Aineffe;Ja;Luik
4317;Borlez;Ja;Luik
4317;Celles;Ja;Luik
4317;FAIMES;Neen;Luik
4317;Les Waleffes;Ja;Luik
4317;Viemme;Ja;Luik
4340;AWANS;Neen;Luik
4340;Fooz;Ja;Luik
4340;Othée;Ja;Luik
4340;Villers-L'Evêque;Ja;Luik
4342;Hognoul;Ja;Luik
4347;FEXHE-LE-HAUT-CLOCHER;Neen;Luik
4347;Freloux;Ja;Luik
4347;Noville;Ja;Luik
4347;Roloux;Ja;Luik
4347;Voroux-Goreux;Ja;Luik
4350;Lamine;Ja;Luik
4350;Momalle;Ja;Luik
4350;Pousset;Ja;Luik
4350;REMICOURT;Neen;Luik
4351;Hodeige;Ja;Luik
4357;DONCEEL;Neen;Luik
4357;Haneffe;Ja;Luik
4357;Jeneffe;Ja;Luik
4357;Limont;Ja;Luik
4360;Bergilers;Ja;Luik
4360;Grandville;Ja;Luik
4360;Lens-Sur-Geer;Ja;Luik
4360;OREYE;Neen;Luik
4360;Otrange;Ja;Luik
4367;CRISNÉE;Neen;Luik
4367;Fize-Le-Marsal;Ja;Luik
4367;Kemexhe;Ja;Luik
4367;Odeur;Ja;Luik
4367;Thys;Ja;Luik
4400;Awirs;Ja;Luik
4400;Chokier;Ja;Luik
4400;FLÉMALLE;Neen;Luik
4400;Flémalle-Grande;Ja;Luik
4400;Flémalle-Haute;Ja;Luik
4400;Gleixhe;Ja;Luik
4400;Ivoz-Ramet;Ja;Luik
4400;Mons-Lez-Liège;Ja;Luik
4420;Montegnée;Ja;Luik
4420;SAINT-NICOLAS;Neen;Luik
4420;Tilleur;Ja;Luik
4430;ANS;Neen;Luik
4431;Loncin;Ja;Luik
4432;Alleur;Ja;Luik
4432;Xhendremael;Ja;Luik
4450;JUPRELLE;Neen;Luik
4450;Lantin;Ja;Luik
4450;Slins;Ja;Luik
4451;Voroux-Lez-Liers;Ja;Luik
4452;Paifve;Ja;Luik
4452;Wihogne;Ja;Luik
4453;Villers-Saint-Siméon;Ja;Luik
4458;Fexhe-Slins;Ja;Luik
4460;Bierset;Ja;Luik
4460;Grâce-Berleur;Ja;Luik
4460;GRÂCE-HOLLOGNE;Neen;Luik
4460;Hollogne-Aux-Pierres;Ja;Luik
4460;Horion-Hozémont;Ja;Luik
4460;Velroux;Ja;Luik
4470;SAINT-GEORGES-SUR-MEUSE;Neen;Luik
4480;Clermont-Sous-Huy;Ja;Luik
4480;Ehein;Ja;Luik
4480;ENGIS;Neen;Luik
4480;Hermalle-Sous-Huy;Ja;Luik
4500;Ben-Ahin;Ja;Luik
4500;HUY;Neen;Luik
4500;Tihange;Ja;Luik
4520;Antheit;Ja;Luik
4520;Bas-Oha;Ja;Luik
4520;Huccorgne;Ja;Luik
4520;Moha;Ja;Luik
4520;Vinalmont;Ja;Luik
4520;WANZE;Neen;Luik
4530;Fize-Fontaine;Ja;Luik
4530;Vaux-Et-Borset;Ja;Luik
4530;Vieux-Waleffe;Ja;Luik
4530;VILLERS-LE-BOUILLET;Neen;Luik
4530;Warnant-Dreye;Ja;Luik
4537;Bodegnée;Ja;Luik
4537;Chapon-Seraing;Ja;Luik
4537;Seraing-Le-Château;Ja;Luik
4537;VERLAINE;Neen;Luik
4540;AMAY;Neen;Luik
4540;Ampsin;Ja;Luik
4540;Flône;Ja;Luik
4540;Jehay;Ja;Luik
4540;Ombret;Ja;Luik
4550;NANDRIN;Neen;Luik
4550;Saint-Séverin;Ja;Luik
4550;Villers-Le-Temple;Ja;Luik
4550;Yernée-Fraineux;Ja;Luik
4557;Abée;Ja;Luik
4557;Fraiture;Ja;Luik
4557;Ramelot;Ja;Luik
4557;Seny;Ja;Luik
4557;Soheit-Tinlot;Ja;Luik
4557;TINLOT;Neen;Luik
4560;Bois-Et-Borsu;Ja;Luik
4560;CLAVIER;Neen;Luik
4560;Les Avins;Ja;Luik
4560;Ocquier;Ja;Luik
4560;Pailhe;Ja;Luik
4560;Terwagne;Ja;Luik
4570;MARCHIN;Neen;Luik
4570;Vyle-Et-Tharoul;Ja;Luik
4577;MODAVE;Neen;Luik
4577;Outrelouxhe;Ja;Luik
4577;Strée-Lez-Huy;Ja;Luik
4577;Vierset-Barse;Ja;Luik
4590;Ellemelle;Ja;Luik
4590;OUFFET;Neen;Luik
4590;Warzée;Ja;Luik
4600;Lanaye;Ja;Luik
4600;Lixhe;Ja;Luik
4600;Richelle;Ja;Luik
4600;VISÉ;Neen;Luik
4601;Argenteau;Ja;Luik
4602;Cheratte;Ja;Luik
4606;Saint-André;Ja;Luik
4607;Berneau;Ja;Luik
4607;Bombaye;Ja;Luik
4607;DALHEM;Neen;Luik
4607;Feneur;Ja;Luik
4607;Mortroux;Ja;Luik
4608;Neufchâteau;Ja;Luik
4608;Warsage;Ja;Luik
4610;Bellaire;Ja;Luik
4610;BEYNE-HEUSAY;Neen;Luik
4610;Queue-Du-Bois;Ja;Luik
4620;FLÉRON;Neen;Luik
4621;Retinne;Ja;Luik
4623;Magnée;Ja;Luik
4624;Romsée;Ja;Luik
4630;Ayeneux;Ja;Luik
4630;Micheroux;Ja;Luik
4630;SOUMAGNE;Neen;Luik
4630;Tignée;Ja;Luik
4631;Evegnée;Ja;Luik
4632;Cérexhe-Heuseux;Ja;Luik
4633;Melen;Ja;Luik
4650;Chaineux;Ja;Luik
4650;Grand-Rechain;Ja;Luik
4650;HERVE;Neen;Luik
4650;Julémont;Ja;Luik
4651;Battice;Ja;Luik
4652;Xhendelesse;Ja;Luik
4653;Bolland;Ja;Luik
4654;Charneux;Ja;Luik
4670;BLÉGNY;Neen;Luik
4670;Mortier;Ja;Luik
4670;Trembleur;Ja;Luik
4671;Barchon;Ja;Luik
4671;Housse;Ja;Luik
4671;Saive;Ja;Luik
4672;Saint-Remy;Ja;Luik
4680;Hermée;Ja;Luik
4680;OUPEYE;Neen;Luik
4681;Hermalle-Sous-Argenteau;Ja;Luik
4682;Heure-Le-Romain;Ja;Luik
4682;Houtain-Saint-Siméon;Ja;Luik
4683;Vivegnis;Ja;Luik
4684;Haccourt;Ja;Luik
4690;BASSENGE;Neen;Luik
4690;Boirs;Ja;Luik
4690;Eben-Emael;Ja;Luik
4690;Glons;Ja;Luik
4690;Roclenge-Sur-Geer;Ja;Luik
4690;Wonck;Ja;Luik
4700;EUPEN;Neen;Luik
4701;Kettenis;Ja;Luik
4710;LONTZEN;Neen;Luik
4711;Walhorn;Ja;Luik
4720;KELMIS;Neen;Luik
4721;Neu-Moresnet;Ja;Luik
4728;Hergenrath;Ja;Luik
4730;Hauset;Ja;Luik
4730;RAEREN;Neen;Luik
4731;Eynatten;Ja;Luik
4750;BUTGENBACH;Neen;Luik
4750;Elsenborn;Ja;Luik
4760;BÜLLINGEN;Neen;Luik
4760;Manderfeld;Ja;Luik
4761;Rocherath;Ja;Luik
4770;AMEL;Neen;Luik
4770;Meyerode;Ja;Luik
4771;Heppenbach;Ja;Luik
4780;Recht;Ja;Luik
4780;SANKT-VITH;Neen;Luik
4782;Schönberg;Ja;Luik
4783;Lommersweiler;Ja;Luik
4784;Crombach;Ja;Luik
4790;BURG-REULAND;Neen;Luik
4790;Reuland;Ja;Luik
4791;Thommen;Ja;Luik
4800;Ensival;Ja;Luik
4800;Lambermont;Ja;Luik
4800;Petit-Rechain;Ja;Luik
4800;Polleur;Ja;Luik
4800;VERVIERS;Neen;Luik
4801;Stembert;Ja;Luik
4802;Heusy;Ja;Luik
4820;DISON;Neen;Luik
4821;Andrimont;Ja;Luik
4830;LIMBOURG;Neen;Luik
4831;Bilstain;Ja;Luik
4834;Goé;Ja;Luik
4837;BAELEN;Neen;Luik
4837;Membach;Ja;Luik
4840;WELKENRAEDT;Neen;Luik
4841;Henri-Chapelle;Ja;Luik
4845;JALHAY;Neen;Luik
4845;Sart-Lez-Spa;Ja;Luik
4850;Montzen;Ja;Luik
4850;Moresnet;Ja;Luik
4850;PLOMBIÈRES;Neen;Luik
4851;Gemmenich;Ja;Luik
4851;Sippenaeken;Ja;Luik
4852;Hombourg;Ja;Luik
4860;Cornesse;Ja;Luik
4860;PEPINSTER;Neen;Luik
4860;Wegnez;Ja;Luik
4861;Soiron;Ja;Luik
4870;Forêt;Ja;Luik
4870;Fraipont;Ja;Luik
4870;Nessonvaux;Ja;Luik
4870;TROOZ;Neen;Luik
4877;OLNE;Neen;Luik
4880;AUBEL;Neen;Luik
4890;Clermont;Ja;Luik
4890;Thimister;Ja;Luik
4890;THIMISTER-CLERMONT;Neen;Luik
4900;SPA;Neen;Luik
4910;La Reid;Ja;Luik
4910;Polleur;Ja;Luik
4910;THEUX;Neen;Luik
4920;AYWAILLE;Neen;Luik
4920;Ernonheid;Ja;Luik
4920;Harzé;Ja;Luik
4920;Louveigné;Ja;Luik
4920;Sougné-Remouchamps;Ja;Luik
4950;Faymonville;Ja;Luik
4950;Robertville;Ja;Luik
4950;Sourbrodt;Ja;Luik
4950;WEISMES;Neen;Luik
4960;Bellevaux-Ligneuville;Ja;Luik
4960;Bevercé;Ja;Luik
4960;MALMEDY;Neen;Luik
4970;Francorchamps;Ja;Luik
4970;STAVELOT;Neen;Luik
4980;Fosse;Ja;Luik
4980;TROIS-PONTS;Neen;Luik
4980;Wanne;Ja;Luik
4983;Basse-Bodeux;Ja;Luik
4987;Chevron;Ja;Luik
4987;La Gleize;Ja;Luik
4987;Lorcé;Ja;Luik
4987;Rahier;Ja;Luik
4987;STOUMONT;Neen;Luik
4990;Arbrefontaine;Ja;Luik
4990;Bra;Ja;Luik
4990;LIERNEUX;Neen;Luik
5000;Beez;Ja;Namen
5000;NAMUR;Neen;Namen
5001;Belgrade;Ja;Namen
5002;Saint-Servais;Ja;Namen
5003;Saint-Marc;Ja;Namen
5004;Bouge;Ja;Namen
5010;SA SudPresse;;
5012;Parlement Wallon;;
5020;Champion;Ja;Namen
5020;Daussoulx;Ja;Namen
5020;Flawinne;Ja;Namen
5020;Malonne;Ja;Namen
5020;Suarlée;Ja;Namen
5020;Temploux;Ja;Namen
5020;Vedrin;Ja;Namen
5021;Boninne;Ja;Namen
5022;Cognelée;Ja;Namen
5024;Gelbressée;Ja;Namen
5024;Marche-Les-Dames;Ja;Namen
5030;Beuzet;Ja;Namen
5030;Ernage;Ja;Namen
5030;GEMBLOUX;Neen;Namen
5030;Grand-Manil;Ja;Namen
5030;Lonzée;Ja;Namen
5030;Sauvenière;Ja;Namen
5031;Grand-Leez;Ja;Namen
5032;Bossière;Ja;Namen
5032;Bothey;Ja;Namen
5032;Corroy-Le-Château;Ja;Namen
5032;Isnes;Ja;Namen
5032;Mazy;Ja;Namen
5060;Arsimont;Ja;Namen
5060;Auvelais;Ja;Namen
5060;Falisolle;Ja;Namen
5060;Keumiée;Ja;Namen
5060;Moignelée;Ja;Namen
5060;SAMBREVILLE;Neen;Namen
5060;Tamines;Ja;Namen
5060;Velaine-Sur-Sambre;Ja;Namen
5070;Aisemont;Ja;Namen
5070;FOSSES-LA-VILLE;Neen;Namen
5070;Le Roux;Ja;Namen
5070;Sart-Eustache;Ja;Namen
5070;Sart-Saint-Laurent;Ja;Namen
5070;Vitrival;Ja;Namen
5080;Emines;Ja;Namen
5080;LA BRUYÈRE;Neen;Namen
5080;Rhisnes;Ja;Namen
5080;Villers-Lez-Heest;Ja;Namen
5080;Warisoulx;Ja;Namen
5081;Bovesse;Ja;Namen
5081;Meux;Ja;Namen
5081;Saint-Denis-Bovesse;Ja;Namen
5100;Dave;Ja;Namen
5100;Jambes;Ja;Namen
5100;Naninne;Ja;Namen
5100;Wépion;Ja;Namen
5100;Wierde;Ja;Namen
5101;Erpent;Ja;Namen
5101;Lives-Sur-Meuse;Ja;Namen
5101;Loyers;Ja;Namen
5140;Boignée;Ja;Namen
5140;Ligny;Ja;Namen
5140;SOMBREFFE;Neen;Namen
5140;Tongrinne;Ja;Namen
5150;FLOREFFE;Neen;Namen
5150;Floriffoux;Ja;Namen
5150;Franière;Ja;Namen
5150;Soye;Ja;Namen
5170;Arbre;Ja;Namen
5170;Bois-De-Villers;Ja;Namen
5170;Lesve;Ja;Namen
5170;Lustin;Ja;Namen
5170;PROFONDEVILLE;Neen;Namen
5170;Rivière;Ja;Namen
5190;Balâtre;Ja;Namen
5190;Ham-Sur-Sambre;Ja;Namen
5190;JEMEPPE-SUR-SAMBRE;Neen;Namen
5190;Mornimont;Ja;Namen
5190;Moustier-Sur-Sambre;Ja;Namen
5190;Onoz;Ja;Namen
5190;Saint-Martin;Ja;Namen
5190;Spy;Ja;Namen
5300;ANDENNE;Neen;Namen
5300;Bonneville;Ja;Namen
5300;Coutisse;Ja;Namen
5300;Landenne;Ja;Namen
5300;Maizeret;Ja;Namen
5300;Namêche;Ja;Namen
5300;Sclayn;Ja;Namen
5300;Seilles;Ja;Namen
5300;Thon;Ja;Namen
5300;Vezin;Ja;Namen
5310;Aische-En-Refail;Ja;Namen
5310;Bolinne;Ja;Namen
5310;Boneffe;Ja;Namen
5310;Branchon;Ja;Namen
5310;Dhuy;Ja;Namen
5310;EGHEZÉE;Neen;Namen
5310;Hanret;Ja;Namen
5310;Leuze;Ja;Namen
5310;Liernu;Ja;Namen
5310;Longchamps;Ja;Namen
5310;Mehaigne;Ja;Namen
5310;Noville-Sur-Méhaigne;Ja;Namen
5310;Saint-Germain;Ja;Namen
5310;Taviers;Ja;Namen
5310;Upigny;Ja;Namen
5310;Waret-La-Chaussée;Ja;Namen
5330;ASSESSE;Neen;Namen
5330;Maillen;Ja;Namen
5330;Sart-Bernard;Ja;Namen
5332;Crupet;Ja;Namen
5333;Sorinne-La-Longue;Ja;Namen
5334;Florée;Ja;Namen
5336;Courrière;Ja;Namen
5340;Faulx-Les-Tombes;Ja;Namen
5340;GESVES;Neen;Namen
5340;Haltinne;Ja;Namen
5340;Mozet;Ja;Namen
5340;Sorée;Ja;Namen
5350;Evelette;Ja;Namen
5350;OHEY;Neen;Namen
5351;Haillot;Ja;Namen
5352;Perwez-Haillot;Ja;Namen
5353;Goesnes;Ja;Namen
5354;Jallet;Ja;Namen
5360;HAMOIS;Neen;Namen
5360;Natoye;Ja;Namen
5361;Mohiville;Ja;Namen
5361;Scy;Ja;Namen
5362;Achet;Ja;Namen
5363;Emptinne;Ja;Namen
5364;Schaltin;Ja;Namen
5370;Barvaux-Condroz;Ja;Namen
5370;Flostoy;Ja;Namen
5370;HAVELANGE;Neen;Namen
5370;Jeneffe;Ja;Namen
5370;Porcheresse;Ja;Namen
5370;Verlée;Ja;Namen
5372;Méan;Ja;Namen
5374;Maffe;Ja;Namen
5376;Miécret;Ja;Namen
5377;Baillonville;Ja;Namen
5377;Bonsin;Ja;Namen
5377;Heure;Ja;Namen
5377;Hogne;Ja;Namen
5377;Nettinne;Ja;Namen
5377;Noiseux;Ja;Namen
5377;Sinsin;Ja;Namen
5377;SOMME-LEUZE;Neen;Namen
5377;Waillet;Ja;Namen
5380;Bierwart;Ja;Namen
5380;Cortil-Wodon;Ja;Namen
5380;FERNELMONT;Neen;Namen
5380;Forville;Ja;Namen
5380;Franc-Waret;Ja;Namen
5380;Hemptinne;Ja;Namen
5380;Hingeon;Ja;Namen
5380;Marchovelette;Ja;Namen
5380;Noville-Les-Bois;Ja;Namen
5380;Pontillas;Ja;Namen
5380;Tillier;Ja;Namen
5500;Anseremme;Ja;Namen
5500;Bouvignes-Sur-Meuse;Ja;Namen
5500;DINANT;Neen;Namen
5500;Dréhance;Ja;Namen
5500;Falmagne;Ja;Namen
5500;Falmignoul;Ja;Namen
5500;Furfooz;Ja;Namen
5501;Lisogne;Ja;Namen
5502;Thynes;Ja;Namen
5503;Sorinnes;Ja;Namen
5504;Foy-Notre-Dame;Ja;Namen
5520;Anthée;Ja;Namen
5520;ONHAYE;Neen;Namen
5521;Serville;Ja;Namen
5522;Falaen;Ja;Namen
5523;Sommière;Ja;Namen
5523;Weillen;Ja;Namen
